timestamp_utc,question_id,question_row,question,model_id,status,latency_ms,inputTokens,outputTokens,totalTokens,totalCost,output,output_similarity_by_model,user_friendly_output,error,reasoning
2026-07-08T15:44:48.336Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1466,2775,30,2805,0.002925,"[""SA"",""DT"",""OTP"",""BU"",""MU"",""NU"",""OMB""]",us.amazon.nova-pro-v1:0: 25.93%,Substance use treatment; Detoxification; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment,,
2026-07-08T15:44:49.804Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.amazon.nova-pro-v1:0,ok,1096,2438,65,2503,0.0036975,"[""SA"",""OTP"",""BU"",""MU"",""NU"",""OMB"",""RES"",""OP"",""IOP"",""PHP"",""HH"",""DT"",""RD"",""HID"",""OD"",""CMHA"",""CSAA"",""CM"",""TA"",""HS"",""ACC"",""RC"",""PEER"",""ICO"",""GCO"",""FCO"",""MCO""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 25.93%,"Substance use treatment; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Residential/24-hour residential; Outpatient; Intensive outpatient treatment; Partial hospitalization/day treatment; Transitional housing, halfway house, or sober home; Detoxification; Residential detoxification; Hospital inpatient detoxification; Outpatient detoxification; Comprehensive mental health assessment; Comprehensive substance use assessment; Case management service; Transportation assistance; Housing services; Aftercare/continuing care; Recovery coach; Mentoring/peer support; Individual counseling; Group counseling; Family counseling; Marital/couples counseling",,
2026-07-08T15:44:50.900Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1061,2804,22,2826,0.002914,"[""SA"",""BU"",""OMB"",""PI"",""PA""]",us.amazon.nova-pro-v1:0: 40.00%,Substance use treatment; Buprenorphine used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Private health insurance; Payment assistance (check with facility for details),,
2026-07-08T15:44:51.962Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.amazon.nova-pro-v1:0,ok,900,2471,8,2479,0.00316875,"[""BU"", ""PI""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 40.00%,Buprenorphine used in Treatment; Private health insurance,,
2026-07-08T15:44:52.862Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1052,2773,20,2793,0.002873,"[""SA"",""HI"",""RES"",""DT""]",us.amazon.nova-pro-v1:0: 60.00%,Substance use treatment; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Detoxification,,
2026-07-08T15:44:53.915Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.amazon.nova-pro-v1:0,ok,626,2437,11,2448,0.00315625,"[""SA"",""RES"",""DT"",""OD""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 60.00%,Substance use treatment; Residential/24-hour residential; Detoxification; Outpatient detoxification,,
2026-07-08T15:44:54.541Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1222,2769,20,2789,0.002869,"[""MH"",""SA"",""SUMH"",""PI""]",us.amazon.nova-pro-v1:0: 28.57%,Mental health treatment; Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Private health insurance,,
2026-07-08T15:44:55.764Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.amazon.nova-pro-v1:0,ok,842,2435,35,2470,0.00339375,"[""SA"",""MH"",""SUMH"",""RES"",""OP"",""IOP"",""PHP"",""HH"",""OTP"",""BU"",""MU"",""NU"",""OMB"",""PI""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 28.57%,"Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential; Outpatient; Intensive outpatient treatment; Partial hospitalization/day treatment; Transitional housing, halfway house, or sober home; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Private health insurance",,
2026-07-08T15:44:56.607Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1255,2778,21,2799,0.002883,"[""SUMH"",""SA"",""RES"",""SMI""]",us.amazon.nova-pro-v1:0: 28.57%,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Substance use treatment; Residential/24-hour residential; Persons  18 and older with serious mental illness (SMI),,
2026-07-08T15:44:57.863Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.amazon.nova-pro-v1:0,ok,779,2442,25,2467,0.0033025,"[
  ""SUMH"",
  ""RES"",
  ""WN"",
  ""MN"",
  ""MHSU""
]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 28.57%,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential; Adult women; Adult men; Clients with co-occurring mental and substance use disorders,,
2026-07-08T15:44:58.643Z,5,6,I'm 50 20 years off and on use past inpatient in 2010 past outpatient im seeking help for addiction and mental health ptsd manic depressive,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1527,2797,31,2828,0.002952,"[""SA"",""SUMH"",""MH"",""PTSD"",""SMI"",""RES"",""OP""]",us.amazon.nova-pro-v1:0: 25.93%,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Mental health treatment; Persons with post-traumatic stress disorder (PTSD); Persons  18 and older with serious mental illness (SMI); Residential/24-hour residential; Outpatient,,
2026-07-08T15:45:00.170Z,5,6,I'm 50 20 years off and on use past inpatient in 2010 past outpatient im seeking help for addiction and mental health ptsd manic depressive,us.amazon.nova-pro-v1:0,ok,1203,2460,120,2580,0.004275,"[
  ""SA"",
  ""MH"",
  ""SUMH"",
  ""DT"",
  ""RES"",
  ""OP"",
  ""IOP"",
  ""PHP"",
  ""HH"",
  ""RD"",
  ""HID"",
  ""OD"",
  ""RL"",
  ""RS"",
  ""OTP"",
  ""BU"",
  ""MU"",
  ""NU"",
  ""OMB"",
  ""SEN"",
  ""PTSD"",
  ""SMI"",
  ""TRMA"",
  ""ICO"",
  ""GCO"",
  ""FCO"",
  ""MCO""
]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 25.93%,"Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Detoxification; Residential/24-hour residential; Outpatient; Intensive outpatient treatment; Partial hospitalization/day treatment; Transitional housing, halfway house, or sober home; Residential detoxification; Hospital inpatient detoxification; Outpatient detoxification; Long-term residential; Short-term residential; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Seniors or older adults; Persons with post-traumatic stress disorder (PTSD); Persons  18 and older with serious mental illness (SMI); Clients who have experienced trauma; Individual counseling; Group counseling; Family counseling; Marital/couples counseling",,
