timestamp_utc,question_id,question_row,question,model_id,status,latency_ms,inputTokens,outputTokens,totalTokens,totalCost,output,output_similarity_by_model,user_friendly_output,error,reasoning
2026-07-08T15:41:22.089Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1294,2775,30,2805,0.002925,"[""SA"",""DT"",""OTP"",""BU"",""MU"",""NU"",""OMB""]",,Substance use treatment; Detoxification; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment,,
2026-07-08T15:41:23.383Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1303,2804,22,2826,0.002914,"[""SA"",""BU"",""OMB"",""PI"",""PA""]",,Substance use treatment; Buprenorphine used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Private health insurance; Payment assistance (check with facility for details),,
2026-07-08T15:41:24.687Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1155,2773,20,2793,0.002873,"[""SA"",""HI"",""RES"",""DT""]",,Substance use treatment; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Detoxification,,
2026-07-08T15:41:25.843Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1102,2769,20,2789,0.002869,"[""MH"",""SA"",""SUMH"",""PI""]",,Mental health treatment; Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Private health insurance,,
2026-07-08T15:41:26.945Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1425,2778,21,2799,0.002883,"[""SUMH"",""SA"",""RES"",""SMI""]",,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Substance use treatment; Residential/24-hour residential; Persons  18 and older with serious mental illness (SMI),,
2026-07-08T15:41:28.372Z,5,6,I'm 50 20 years off and on use past inpatient in 2010 past outpatient im seeking help for addiction and mental health ptsd manic depressive,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1252,2797,31,2828,0.002952,"[""SA"",""SUMH"",""MH"",""PTSD"",""SMI"",""RES"",""OP""]",,Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Mental health treatment; Persons with post-traumatic stress disorder (PTSD); Persons  18 and older with serious mental illness (SMI); Residential/24-hour residential; Outpatient,,
2026-07-08T15:41:29.624Z,6,7,I have United health for my insurance and I need to find a rehab or somewhere I can go to do my 6 month community corrections. So please can you help me with this.,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1367,2797,17,2814,0.002882,"[""PI"",""RES"",""CJ""]",,Private health insurance; Residential/24-hour residential; Criminal justice (other than DUI/DWI)/Forensic clients,,
2026-07-08T15:41:30.993Z,7,8,"Can you please respond to me with information to closeby centers near Jupiter Fl, and the process to seek help.",us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,2035,2782,9,2791,0.002827,[],,,,
2026-07-08T15:41:33.029Z,8,9,I need a place that accepts my insurance me and boyfriend as a couple and my dog i have bcbs of alabama and I dont want to go to one in alabama it's in california,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,940,2795,17,2812,0.00288,"[""PI"",""MCO"",""TA""]",,Private health insurance; Marital/couples counseling; Transportation assistance,,
2026-07-08T15:41:33.970Z,9,10,My daughter is 21 years old yet here in the last 6 months is showing signs of mental health problems please help my next step,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1144,2787,19,2806,0.002882,"[""MH"",""YA"",""CMHA""]",,Mental health treatment; Young adults; Comprehensive mental health assessment,,
