timestamp_utc,question_id,question_row,question,model_id,status,latency_ms,inputTokens,outputTokens,totalTokens,totalCost,output,output_similarity_by_model,user_friendly_output,error,reasoning
2026-07-08T18:05:17.988Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1289,2775,30,2805,0.002925,"[""SA"",""DT"",""OTP"",""BU"",""MU"",""NU"",""OMB""]",us.anthropic.claude-sonnet-4-5-20250929-v1:0: 100.00%,Substance use treatment; Detoxification; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment,,
2026-07-08T18:05:19.277Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,2000,2775,25,2800,0.0087,"[""SA"",""OTP"",""BU"",""MU"",""NU"",""OMB"",""DT""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 100.00%,Substance use treatment; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Detoxification,,
2026-07-08T18:05:21.278Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1037,2804,22,2826,0.002914,"[""SA"",""BU"",""OMB"",""PI"",""PA""]",us.anthropic.claude-sonnet-4-5-20250929-v1:0: 83.33%,Substance use treatment; Buprenorphine used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Private health insurance; Payment assistance (check with facility for details),,
2026-07-08T18:05:22.315Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,2157,2804,24,2828,0.008772,"[""SA"",""BU"",""OMB"",""PI"",""PA"",""SS""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 83.33%,Substance use treatment; Buprenorphine used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Private health insurance; Payment assistance (check with facility for details); Sliding fee scale (fee is based on income and other factors),,
2026-07-08T18:05:24.473Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1137,2773,20,2793,0.002873,"[""SA"",""HI"",""RES"",""DT""]",us.anthropic.claude-sonnet-4-5-20250929-v1:0: 75.00%,Substance use treatment; Hospital inpatient/24-hour hospital inpatient; Residential/24-hour residential; Detoxification,,
2026-07-08T18:05:25.611Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,2091,2773,12,2785,0.008499,"[""SA"",""RES"",""DT""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 75.00%,Substance use treatment; Residential/24-hour residential; Detoxification,,
2026-07-08T18:05:27.703Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1164,2769,20,2789,0.002869,"[""MH"",""SA"",""SUMH"",""PI""]",us.anthropic.claude-sonnet-4-5-20250929-v1:0: 100.00%,Mental health treatment; Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Private health insurance,,
2026-07-08T18:05:28.868Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,2307,2769,20,2789,0.008607,"[""SA"",""MH"",""SUMH"",""PI""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 100.00%,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Private health insurance,,
2026-07-08T18:05:31.175Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,1229,2778,21,2799,0.002883,"[""SUMH"",""SA"",""RES"",""SMI""]",us.anthropic.claude-sonnet-4-5-20250929-v1:0: 50.00%,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Substance use treatment; Residential/24-hour residential; Persons  18 and older with serious mental illness (SMI),,
2026-07-08T18:05:32.404Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,1832,2778,21,2799,0.008649,"[""MH"",""SA"",""SUMH"",""RES"",""MHSU""]",us.anthropic.claude-haiku-4-5-20251001-v1:0: 50.00%,Mental health treatment; Substance use treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential; Clients with co-occurring mental and substance use disorders,,
