timestamp_utc,question_id,question_row,question,model_id,status,latency_ms,inputTokens,outputTokens,totalTokens,totalCost,output,output_similarity_by_model,user_friendly_output,error,reasoning
2026-07-07T20:12:43.787Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.amazon.nova-2-lite-v1:0,ok,1121,2446,19,2465,0.0007813,"[""SA"", ""OTP"", ""BU"", ""MU"", ""NU"", ""OMB""]",us.amazon.nova-pro-v1:0: 20.69%,Substance use treatment; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment,,
2026-07-07T20:12:44.910Z,0,1,Please send me as much information as possible about treatment for Opioid addiction.,us.amazon.nova-pro-v1:0,ok,1179,2438,70,2508,0.0037475,"[""SA"",""OTP"",""BU"",""MU"",""NU"",""OMB"",""RES"",""OP"",""IOP"",""PHP"",""HH"",""RD"",""HID"",""OD"",""RL"",""RS"",""ICO"",""GCO"",""FCO"",""MCO"",""CMHA"",""CSAA"",""CM"",""TA"",""HS"",""ACC"",""RC"",""PEER"",""TELE""]",us.amazon.nova-2-lite-v1:0: 20.69%,"Substance use treatment; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Residential/24-hour residential; Outpatient; Intensive outpatient treatment; Partial hospitalization/day treatment; Transitional housing, halfway house, or sober home; Residential detoxification; Hospital inpatient detoxification; Outpatient detoxification; Long-term residential; Short-term residential; Individual counseling; Group counseling; Family counseling; Marital/couples counseling; Comprehensive mental health assessment; Comprehensive substance use assessment; Case management service; Transportation assistance; Housing services; Aftercare/continuing care; Recovery coach; Mentoring/peer support; Telemedicine/telehealth therapy",,
2026-07-07T20:12:46.090Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.amazon.nova-2-lite-v1:0,ok,639,2477,6,2483,0.0007581,"[""BU"",""PI""]",us.amazon.nova-pro-v1:0: 100.00%,Buprenorphine used in Treatment; Private health insurance,,
2026-07-07T20:12:46.730Z,1,2,"I have been on subtex for a while. I can't afford to go to my doctor. I have ambetter insurance, but I been out of my medication for a few days and I am not feeling well at all.",us.amazon.nova-pro-v1:0,ok,737,2471,8,2479,0.00316875,"[""BU"", ""PI""]",us.amazon.nova-2-lite-v1:0: 100.00%,Buprenorphine used in Treatment; Private health insurance,,
2026-07-07T20:12:47.469Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.amazon.nova-2-lite-v1:0,ok,751,2443,11,2454,0.0007604,"[""SA"",""RES"",""DT"",""HID""]",us.amazon.nova-pro-v1:0: 60.00%,Substance use treatment; Residential/24-hour residential; Detoxification; Hospital inpatient detoxification,,
2026-07-07T20:12:48.221Z,2,3,I'm interested in inpatient rehab immediately for alcohol and substance abuse,us.amazon.nova-pro-v1:0,ok,824,2437,11,2448,0.00315625,"[""SA"",""RES"",""DT"",""OD""]",us.amazon.nova-2-lite-v1:0: 60.00%,Substance use treatment; Residential/24-hour residential; Detoxification; Outpatient detoxification,,
2026-07-07T20:12:49.045Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.amazon.nova-2-lite-v1:0,ok,542,2442,2,2444,0.0007376,[],us.amazon.nova-pro-v1:0: 0.00%,,,
2026-07-07T20:12:49.588Z,3,4,Mental amd alcohol rehabs that take blue cross home,us.amazon.nova-pro-v1:0,ok,796,2435,35,2470,0.00339375,"[""SA"",""MH"",""SUMH"",""RES"",""OP"",""IOP"",""PHP"",""HH"",""OTP"",""BU"",""MU"",""NU"",""OMB"",""PI""]",us.amazon.nova-2-lite-v1:0: 0.00%,"Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential; Outpatient; Intensive outpatient treatment; Partial hospitalization/day treatment; Transitional housing, halfway house, or sober home; Federally-certified Opioid Treatment Program; Buprenorphine used in Treatment; Methadone used in Treatment; Naltrexone used in Treatment; Outpatient methadone/buprenorphine or naltrexone treatment; Private health insurance",,
2026-07-07T20:12:50.385Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.amazon.nova-2-lite-v1:0,ok,651,2450,7,2457,0.0007525,"[""SUMH"",""RES""]",us.amazon.nova-pro-v1:0: 100.00%,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential,,
2026-07-07T20:12:51.036Z,4,5,I suffer from bipolar disorder and Use meth and i need an inhouse residential program in ohio,us.amazon.nova-pro-v1:0,ok,820,2442,8,2450,0.0031325,"[""SUMH"",""RES""]",us.amazon.nova-2-lite-v1:0: 100.00%,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential,,
2026-07-07T20:12:51.857Z,5,6,I'm 50 20 years off and on use past inpatient in 2010 past outpatient im seeking help for addiction and mental health ptsd manic depressive,us.amazon.nova-2-lite-v1:0,ok,819,2462,2,2464,0.0007436,[],us.amazon.nova-pro-v1:0: 0.00%,,,
2026-07-07T20:12:52.677Z,5,6,I'm 50 20 years off and on use past inpatient in 2010 past outpatient im seeking help for addiction and mental health ptsd manic depressive,us.amazon.nova-pro-v1:0,ok,701,2460,33,2493,0.003405,"[
  ""SA"",
  ""MH"",
  ""SUMH"",
  ""RES"",
  ""OP"",
  ""PTSD"",
  ""SMI""
]",us.amazon.nova-2-lite-v1:0: 0.00%,Substance use treatment; Mental health treatment; Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children; Residential/24-hour residential; Outpatient; Persons with post-traumatic stress disorder (PTSD); Persons  18 and older with serious mental illness (SMI),,
2026-07-07T20:12:53.378Z,6,7,I have United health for my insurance and I need to find a rehab or somewhere I can go to do my 6 month community corrections. So please can you help me with this.,us.amazon.nova-2-lite-v1:0,ok,819,2469,10,2479,0.0007657,"[""SA"", ""CJ"", ""PI""]",us.amazon.nova-pro-v1:0: 40.00%,Substance use treatment; Criminal justice (other than DUI/DWI)/Forensic clients; Private health insurance,,
2026-07-07T20:12:54.198Z,6,7,I have United health for my insurance and I need to find a rehab or somewhere I can go to do my 6 month community corrections. So please can you help me with this.,us.amazon.nova-pro-v1:0,ok,633,2461,11,2472,0.00318625,"[""RES"",""RL"",""PI"",""CJ""]",us.amazon.nova-2-lite-v1:0: 40.00%,Residential/24-hour residential; Long-term residential; Private health insurance; Criminal justice (other than DUI/DWI)/Forensic clients,,
2026-07-07T20:12:54.832Z,7,8,"Can you please respond to me with information to closeby centers near Jupiter Fl, and the process to seek help.",us.amazon.nova-2-lite-v1:0,ok,493,2455,2,2457,0.0007415,[],us.amazon.nova-pro-v1:0: 0.00%,,,
